Episode  3290 | Won: False | Reward: -511.0 | Epsilon: 0.5613
Episode  3300 | Won: False | Reward: -512.0 | Epsilon: 0.5600
Episode  3310 | Won: False | Reward: -510.0 | Epsilon: 0.5587
Episode  3320 | Won: False | Reward: -510.0 | Epsilon: 0.5573
Episode  3330 | Won: False | Reward: -510.0 | Epsilon: 0.5560
Episode  3340 | Won: False | Reward: -512.0 | Epsilon: 0.5547
Episode  3350 | Won: False | Reward: -525.0 | Epsilon: 0.5533
Episode  3360 | Won: False | Reward: -509.0 | Epsilon: 0.5520
Episode  3370 | Won: False | Reward: -520.0 | Epsilon: 0.5507
Episode  3380 | Won: False | Reward: -504.0 | Epsilon: 0.5493
Episode  3390 | Won: False | Reward: -505.0 | Epsilon: 0.5480
Episode  3400 | Won: False | Reward: -510.0 | Epsilon: 0.5467
Episode  3410 | Won: False | Reward: -513.0 | Epsilon: 0.5453
Episode  3420 | Won: False | Reward: -514.0 | Epsilon: 0.5440
Episode  3430 | Won: False | Reward: -504.0 | Epsilon: 0.5427
Episode  3440 | Won: False | Reward: -504.0 | Epsilon: 0.5413
Episode  3450 | Won: False | Reward: -523.0 | Epsilon: 0.5400
Episode  3460 | Won: False | Reward: -511.0 | Epsilon: 0.5387
Episode  3470 | Won: False | Reward: -510.0 | Epsilon: 0.5373
Episode  3480 | Won: False | Reward: -516.0 | Epsilon: 0.5360
Episode  3490 | Won:  True | Reward:  486.0 | Epsilon: 0.5347
Episode  3500 | Won: False | Reward: -510.0 | Epsilon: 0.5333
Episode  3510 | Won: False | Reward: -524.0 | Epsilon: 0.5320
Episode  3520 | Won: False | Reward: -507.0 | Epsilon: 0.5307
Episode  3530 | Won: False | Reward: -507.0 | Epsilon: 0.5293
Episode  3540 | Won: False | Reward: -505.0 | Epsilon: 0.5280
Episode  3550 | Won: False | Reward: -509.0 | Epsilon: 0.5267
Episode  3560 | Won: False | Reward: -511.0 | Epsilon: 0.5253
Episode  3570 | Won: False | Reward: -507.0 | Epsilon: 0.5240
Episode  3580 | Won: False | Reward: -518.0 | Epsilon: 0.5227
Episode  3590 | Won: False | Reward: -521.0 | Epsilon: 0.5213
Episode  3600 | Won: False | Reward: -514.0 | Epsilon: 0.5200
Episode  3610 | Won: False | Reward: -507.0 | Epsilon: 0.5187
Episode  3620 | Won: False | Reward: -504.0 | Epsilon: 0.5173
Episode  3630 | Won: False | Reward: -507.0 | Epsilon: 0.5160
Episode  3640 | Won: False | Reward: -509.0 | Epsilon: 0.5147
Episode  3650 | Won: False | Reward: -520.0 | Epsilon: 0.5133
Episode  3660 | Won: False | Reward: -515.0 | Epsilon: 0.5120
Episode  3670 | Won: False | Reward: -507.0 | Epsilon: 0.5107
Episode  3680 | Won: False | Reward: -507.0 | Epsilon: 0.5093
Episode  3690 | Won: False | Reward: -513.0 | Epsilon: 0.5080
Episode  3700 | Won: False | Reward: -512.0 | Epsilon: 0.5067
Episode  3710 | Won: False | Reward: -514.0 | Epsilon: 0.5053
Episode  3720 | Won: False | Reward: -510.0 | Epsilon: 0.5040
Episode  3730 | Won: False | Reward: -510.0 | Epsilon: 0.5027
Episode  3740 | Won: False | Reward: -506.0 | Epsilon: 0.5013
Episode  3750 | Won: False | Reward: -538.0 | Epsilon: 0.5000
Episode  3760 | Won: False | Reward: -509.0 | Epsilon: 0.4987
Episode  3770 | Won: False | Reward: -524.0 | Epsilon: 0.4973
Episode  3780 | Won: False | Reward: -520.0 | Epsilon: 0.4960
Episode  3790 | Won: False | Reward: -504.0 | Epsilon: 0.4947
Episode  3800 | Won: False | Reward: -508.0 | Epsilon: 0.4933
Episode  3810 | Won: False | Reward: -512.0 | Epsilon: 0.4920
Episode  3820 | Won: False | Reward: -504.0 | Epsilon: 0.4907
Episode  3830 | Won: False | Reward: -506.0 | Epsilon: 0.4893
Episode  3840 | Won: False | Reward: -507.0 | Epsilon: 0.4880
Episode  3850 | Won: False | Reward: -510.0 | Epsilon: 0.4867
Episode  3860 | Won: False | Reward: -509.0 | Epsilon: 0.4853
Episode  3870 | Won: False | Reward: -503.0 | Epsilon: 0.4840
Episode  3880 | Won: False | Reward: -504.0 | Epsilon: 0.4827
Episode  3890 | Won: False | Reward: -506.0 | Epsilon: 0.4813
Episode  3900 | Won: False | Reward: -504.0 | Epsilon: 0.4800
Episode  3910 | Won: False | Reward: -519.0 | Epsilon: 0.4787
Episode  3920 | Won: False | Reward: -513.0 | Epsilon: 0.4773
